Time_of_Day,Day_of_Week,Month,Weather_Conditions,Road_Type,Road_Condition,Lighting_Conditions,Traffic_Control_Presence,Speed_Limit,Driver_Age,Driver_Gender,Alcohol_Involvement,Number_of_Vehicles_Involved,Accident_Severity
Night,Saturday,Mar,Clear,City Road,Dry,Street Lit,Signal,100,26,Male,No,4,Major
Morning,Tuesday,Feb,Rain,Rural Road,Wet,No Lighting,None,50,37,Female,No,4,Major
Night,Sunday,Jan,Clear,City Road,Dry,Daylight,None,80,52,Male,No,3,Minor
Afternoon,Wednesday,Mar,Rain,City Road,Wet,Daylight,Signal,50,75,Male,Yes,2,Minor
Evening,Sunday,May,Clear,City Road,Wet,Daylight,Speed Breaker,50,32,Male,No,1,Minor
Morning,Monday,Nov,Fog,Highway,Dry,Daylight,Signal,100,41,Female,No,2,Minor
Night,Thursday,Feb,Fog,City Road,Wet,Daylight,None,30,66,Male,No,4,Minor
Morning,Tuesday,Dec,Clear,City Road,Dry,Daylight,Signal,120,74,Male,No,1,Fatal
Night,Saturday,Mar,Clear,Highway,Under Construction,Daylight,Signal,40,33,Male,Yes,1,Major
Morning,Wednesday,Apr,Clear,City Road,Dry,Daylight,Signal,100,53,Male,Yes,1,Minor
Night,Tuesday,Jul,Clear,Rural Road,Under Construction,Daylight,Speed Breaker,50,28,Male,No,1,Minor
Night,Saturday,Mar,Rain,Rural Road,Under Construction,No Lighting,None,60,74,Male,No,1,Major
Afternoon,Thursday,Sep,Fog,Highway,Dry,Daylight,None,50,25,Male,No,1,Minor
Night,Sunday,Aug,Rain,Highway,Dry,Street Lit,Signal,60,20,Male,No,1,Minor
Afternoon,Thursday,Apr,Fog,Highway,Dry,Daylight,Signal,50,36,Male,No,4,Fatal
Night,Friday,Jan,Clear,Rural Road,Under Construction,No Lighting,Speed Breaker,80,63,Female,Yes,1,Minor
Evening,Monday,Jan,Clear,Highway,Dry,Street Lit,Speed Breaker,30,58,Female,Yes,2,Minor
Evening,Friday,Jan,Rain,City Road,Dry,Street Lit,Signal,40,20,Male,No,1,Minor
Evening,Wednesday,Jan,Clear,Highway,Under Construction,Street Lit,Signal,40,53,Male,No,1,Minor
Night,Tuesday,Aug,Rain,City Road,Dry,Daylight,Speed Breaker,60,42,Male,No,1,Minor
Afternoon,Wednesday,Mar,Clear,Highway,Wet,No Lighting,Signal,100,77,Female,No,1,Minor
Afternoon,Sunday,Jun,Clear,City Road,Dry,Street Lit,Speed Breaker,100,53,Male,No,1,Major
Night,Saturday,Mar,Snow,Highway,Dry,Street Lit,Speed Breaker,50,28,Female,Yes,1,Minor
Evening,Thursday,Nov,Clear,City Road,Wet,Street Lit,None,60,68,Male,No,1,Minor
Evening,Friday,May,Snow,Highway,Dry,Daylight,Speed Breaker,80,79,Male,Yes,2,Minor
Afternoon,Friday,Jul,Snow,City Road,Dry,Street Lit,Signal,50,33,Female,No,1,Minor
Evening,Sunday,Feb,Rain,Rural Road,Under Construction,Daylight,None,60,72,Female,No,1,Major
Morning,Friday,Jun,Rain,Highway,Dry,Daylight,Speed Breaker,60,71,Female,Yes,2,Minor
Afternoon,Sunday,Jun,Rain,Rural Road,Potholes,Daylight,Signal,40,34,Male,No,1,Major
Evening,Wednesday,Nov,Fog,City Road,Potholes,No Lighting,Speed Breaker,30,79,Male,No,1,Minor
Afternoon,Thursday,Mar,Clear,Highway,Dry,Daylight,Signal,50,59,Male,No,1,Minor
Morning,Tuesday,Jun,Clear,City Road,Dry,Daylight,None,80,41,Male,No,1,Major
Afternoon,Saturday,Oct,Rain,Highway,Wet,Daylight,Signal,40,34,Male,No,1,Minor
Afternoon,Tuesday,Oct,Clear,City Road,Dry,Street Lit,Speed Breaker,50,65,Male,No,1,Major
Afternoon,Wednesday,May,Clear,City Road,Dry,Street Lit,Signal,50,37,Male,No,1,Minor
Afternoon,Saturday,Dec,Clear,Highway,Wet,Daylight,Signal,40,39,Male,Yes,2,Minor
Morning,Friday,Feb,Rain,City Road,Dry,Daylight,None,50,23,Female,Yes,1,Major
Night,Monday,Sep,Fog,City Road,Under Construction,Street Lit,None,100,24,Female,No,1,Major
Afternoon,Wednesday,Aug,Clear,Rural Road,Dry,No Lighting,Signal,30,31,Male,No,3,Major
Afternoon,Wednesday,Mar,Storm,City Road,Dry,Street Lit,Signal,80,28,Male,No,2,Major
Evening,Thursday,Aug,Rain,Rural Road,Dry,Daylight,Signal,60,29,Male,No,1,Fatal
Afternoon,Tuesday,Sep,Fog,City Road,Potholes,No Lighting,Speed Breaker,80,63,Female,No,3,Minor
Evening,Wednesday,Mar,Rain,Highway,Wet,Daylight,Speed Breaker,60,22,Male,No,1,Minor
Night,Wednesday,Mar,Rain,City Road,Under Construction,Daylight,Speed Breaker,50,22,Female,No,1,Minor
Morning,Friday,Feb,Clear,City Road,Dry,Daylight,Speed Breaker,100,37,Female,Yes,4,Minor
Morning,Friday,Aug,Fog,City Road,Dry,Daylight,None,60,71,Male,No,3,Minor
Night,Saturday,Oct,Clear,City Road,Dry,Street Lit,Signal,100,72,Male,No,1,Major
Morning,Sunday,Jan,Fog,City Road,Dry,Daylight,Signal,60,75,Female,No,2,Minor
Night,Sunday,Aug,Snow,City Road,Dry,Daylight,Speed Breaker,120,32,Male,Yes,2,Major
Night,Monday,Jul,Clear,City Road,Wet,Daylight,None,80,43,Male,No,1,Minor
Night,Sunday,Jul,Clear,Highway,Dry,Daylight,Speed Breaker,120,50,Female,Yes,1,Minor
Morning,Thursday,Mar,Rain,City Road,Potholes,Daylight,Speed Breaker,60,74,Male,No,1,Fatal
Evening,Monday,Jan,Clear,City Road,Dry,Daylight,Speed Breaker,60,47,Female,No,3,Minor
Night,Saturday,Apr,Fog,Highway,Potholes,Daylight,None,80,41,Female,No,1,Minor
Afternoon,Friday,Sep,Clear,City Road,Dry,Street Lit,Signal,100,40,Female,No,2,Minor
Morning,Sunday,May,Clear,City Road,Dry,Street Lit,Signal,120,26,Male,No,1,Major
Night,Tuesday,Jan,Snow,Highway,Dry,Street Lit,None,50,20,Male,Yes,1,Minor
Night,Friday,May,Rain,Highway,Dry,Daylight,None,80,75,Male,No,2,Minor
Afternoon,Thursday,Aug,Fog,Highway,Dry,Street Lit,Signal,50,53,Female,No,2,Major
Evening,Friday,Aug,Clear,Rural Road,Dry,No Lighting,Signal,60,65,Female,No,1,Minor
Evening,Thursday,May,Rain,Highway,Dry,Street Lit,Signal,50,24,Male,No,1,Major
Evening,Thursday,Dec,Rain,Highway,Wet,Street Lit,Signal,50,39,Male,No,1,Minor
Night,Thursday,Sep,Rain,City Road,Wet,Daylight,None,100,31,Male,No,1,Minor
Night,Saturday,Jan,Rain,Highway,Under Construction,No Lighting,Signal,40,65,Female,No,1,Major
Night,Thursday,Apr,Rain,Highway,Dry,Daylight,None,80,46,Female,No,2,Major
Morning,Thursday,Mar,Clear,Highway,Wet,Daylight,Signal,60,67,Female,Yes,1,Major
Afternoon,Tuesday,Feb,Clear,City Road,Dry,Daylight,Speed Breaker,40,33,Female,No,1,Major
Night,Monday,Aug,Rain,City Road,Dry,Daylight,Signal,50,65,Female,No,1,Minor
Afternoon,Wednesday,Jul,Clear,Highway,Dry,No Lighting,Speed Breaker,60,51,Female,No,3,Minor
Afternoon,Monday,Sep,Rain,City Road,Dry,Daylight,Speed Breaker,50,27,Male,No,1,Minor
Evening,Thursday,Feb,Clear,Rural Road,Dry,Daylight,Speed Breaker,100,24,Male,No,2,Major
Morning,Tuesday,Apr,Rain,Highway,Dry,Street Lit,Signal,120,42,Female,No,1,Major
Night,Friday,Jun,Rain,Highway,Dry,Daylight,Signal,50,44,Male,No,1,Fatal
Evening,Tuesday,Nov,Clear,Highway,Wet,Daylight,Signal,50,32,Male,No,1,Minor
Evening,Thursday,Mar,Clear,City Road,Wet,Street Lit,Signal,60,49,Male,No,1,Minor
Night,Tuesday,Aug,Clear,City Road,Potholes,Street Lit,Speed Breaker,80,45,Male,No,2,Major
Afternoon,Sunday,Mar,Rain,Highway,Wet,Daylight,Speed Breaker,50,26,Male,No,1,Major
Evening,Tuesday,Dec,Fog,City Road,Dry,Street Lit,Speed Breaker,30,24,Male,No,2,Major
Afternoon,Thursday,Feb,Clear,Highway,Under Construction,Daylight,Speed Breaker,60,76,Male,No,1,Major
Morning,Saturday,Mar,Rain,City Road,Under Construction,Daylight,Signal,120,73,Male,Yes,1,Minor
Afternoon,Sunday,Nov,Clear,City Road,Dry,Daylight,Signal,60,33,Male,No,1,Minor
Morning,Tuesday,Jun,Clear,Highway,Dry,Daylight,Signal,60,43,Female,No,2,Minor
Afternoon,Wednesday,Feb,Storm,City Road,Potholes,Street Lit,None,120,52,Male,No,2,Minor
Evening,Wednesday,Aug,Clear,Highway,Dry,Street Lit,Speed Breaker,80,34,Male,No,2,Minor
Evening,Tuesday,Jan,Clear,City Road,Potholes,Daylight,Signal,80,40,Male,No,1,Minor
Morning,Saturday,Jul,Clear,Highway,Dry,Daylight,Signal,60,25,Male,No,2,Minor
Night,Friday,Feb,Clear,Rural Road,Dry,Street Lit,None,120,19,Male,No,1,Major
Morning,Thursday,Oct,Clear,Highway,Dry,Daylight,Speed Breaker,80,48,Female,No,2,Major
Morning,Wednesday,Dec,Clear,Rural Road,Dry,Daylight,Speed Breaker,100,74,Female,No,3,Major
Afternoon,Friday,Jun,Rain,Highway,Under Construction,No Lighting,Signal,80,69,Male,No,1,Minor
Afternoon,Tuesday,Dec,Clear,City Road,Potholes,Street Lit,Signal,80,75,Male,No,1,Minor
Morning,Friday,Feb,Clear,Highway,Dry,No Lighting,None,50,76,Male,No,2,Minor
Evening,Sunday,Feb,Clear,Rural Road,Dry,Daylight,Speed Breaker,50,74,Female,No,2,Fatal
Afternoon,Monday,Oct,Clear,Highway,Under Construction,Street Lit,Signal,80,49,Female,No,1,Minor
Night,Wednesday,Aug,Rain,Highway,Wet,Daylight,None,50,46,Male,No,4,Minor
Afternoon,Tuesday,Dec,Snow,City Road,Dry,Daylight,Speed Breaker,60,20,Male,Yes,2,Major
Afternoon,Thursday,Feb,Clear,Highway,Dry,Daylight,Signal,50,25,Female,No,1,Minor
Night,Saturday,Jul,Fog,Highway,Wet,Daylight,Signal,100,76,Female,No,1,Major
Morning,Sunday,Mar,Rain,Rural Road,Wet,Daylight,Signal,40,19,Male,No,2,Minor
Night,Tuesday,Aug,Rain,Rural Road,Dry,Daylight,Signal,100,48,Female,No,1,Minor
Morning,Thursday,Jul,Clear,Highway,Dry,Daylight,Speed Breaker,80,79,Male,No,1,Minor
Morning,Saturday,Aug,Clear,Rural Road,Potholes,Street Lit,Signal,50,68,Male,No,1,Major
Morning,Saturday,Jul,Clear,City Road,Wet,Daylight,None,60,66,Female,Yes,2,Major
Night,Tuesday,Nov,Rain,Highway,Dry,Daylight,None,50,54,Male,No,2,Minor
Morning,Sunday,Jun,Clear,City Road,Dry,Daylight,Signal,50,37,Female,No,1,Minor
Evening,Friday,Jul,Storm,City Road,Wet,Daylight,Signal,60,46,Male,No,2,Minor
Night,Friday,May,Clear,Rural Road,Dry,Street Lit,None,40,34,Male,No,4,Fatal
Evening,Saturday,Jul,Clear,Highway,Dry,Daylight,Speed Breaker,120,27,Male,No,1,Major
Morning,Friday,Jan,Rain,City Road,Dry,Street Lit,Speed Breaker,30,58,Male,No,2,Major
Afternoon,Monday,Jan,Clear,Highway,Dry,Daylight,Signal,80,39,Male,No,3,Minor
Morning,Saturday,Sep,Clear,Highway,Wet,Daylight,Signal,60,23,Female,Yes,2,Minor
Evening,Saturday,May,Rain,Highway,Dry,Street Lit,Speed Breaker,80,79,Male,No,2,Minor
Evening,Thursday,May,Storm,Rural Road,Wet,Street Lit,None,60,60,Female,No,1,Major
Night,Friday,Mar,Rain,City Road,Dry,Daylight,Signal,80,51,Male,No,1,Major
Afternoon,Sunday,May,Rain,City Road,Dry,Street Lit,None,80,48,Female,No,1,Minor
Night,Saturday,Mar,Rain,City Road,Dry,Daylight,Signal,80,79,Male,No,2,Minor
Evening,Sunday,Sep,Storm,Highway,Potholes,Street Lit,None,40,72,Male,Yes,4,Minor
Morning,Monday,Sep,Clear,Highway,Under Construction,Street Lit,Speed Breaker,80,29,Male,No,1,Minor
Afternoon,Thursday,Jun,Clear,Highway,Dry,Street Lit,Signal,50,29,Male,No,1,Fatal
Morning,Tuesday,Jan,Clear,Highway,Wet,No Lighting,Speed Breaker,30,33,Male,No,1,Minor
Morning,Sunday,Jul,Clear,City Road,Wet,Daylight,Signal,60,42,Male,No,2,Major
Afternoon,Saturday,Jul,Rain,City Road,Potholes,Street Lit,Signal,60,39,Female,Yes,1,Major
Night,Monday,Oct,Rain,Highway,Dry,Daylight,Signal,60,44,Female,No,2,Major
Morning,Wednesday,Oct,Rain,Highway,Wet,Daylight,Signal,80,41,Female,No,1,Fatal
Evening,Monday,Apr,Clear,Highway,Dry,Daylight,Signal,50,29,Male,Yes,1,Major
Morning,Monday,Aug,Rain,City Road,Dry,Daylight,Speed Breaker,50,70,Female,No,1,Major
Afternoon,Thursday,Jun,Clear,Rural Road,Potholes,Street Lit,Speed Breaker,40,35,Female,Yes,3,Minor
Afternoon,Tuesday,Apr,Rain,City Road,Dry,Daylight,Signal,80,62,Male,No,1,Major
Afternoon,Wednesday,Apr,Rain,City Road,Dry,Daylight,None,60,64,Male,No,3,Major
Night,Friday,Feb,Clear,City Road,Dry,Daylight,Speed Breaker,50,33,Male,No,1,Minor
Morning,Friday,Feb,Clear,Highway,Wet,Daylight,None,80,21,Male,No,1,Major
Night,Sunday,Dec,Clear,Highway,Wet,No Lighting,Speed Breaker,60,29,Male,No,1,Major
Night,Monday,Apr,Fog,Rural Road,Dry,Daylight,Signal,60,66,Male,No,4,Major
Afternoon,Thursday,May,Storm,City Road,Potholes,Street Lit,Signal,60,50,Female,No,2,Minor
Afternoon,Thursday,Aug,Rain,Highway,Dry,Street Lit,Speed Breaker,80,39,Male,No,1,Major
Night,Friday,Jun,Clear,City Road,Dry,Street Lit,Signal,80,35,Male,Yes,2,Minor
Morning,Sunday,Apr,Clear,City Road,Potholes,Daylight,Signal,50,71,Female,No,1,Major
Evening,Sunday,Nov,Rain,City Road,Dry,Street Lit,Signal,40,65,Female,No,1,Minor
Night,Sunday,Jul,Rain,Rural Road,Dry,Daylight,Signal,50,50,Female,No,1,Minor
Morning,Wednesday,Aug,Clear,City Road,Dry,Street Lit,Signal,80,44,Male,No,2,Minor
Afternoon,Tuesday,Feb,Clear,City Road,Under Construction,Daylight,Signal,100,59,Male,No,1,Minor
Afternoon,Wednesday,Dec,Rain,Highway,Dry,Daylight,Signal,60,36,Male,No,1,Minor
Morning,Saturday,Jul,Clear,Highway,Potholes,Daylight,Speed Breaker,50,65,Male,No,1,Minor
Evening,Saturday,Feb,Clear,Highway,Wet,Street Lit,Speed Breaker,80,31,Male,No,1,Major
Afternoon,Tuesday,Feb,Clear,Highway,Dry,Daylight,Signal,100,42,Male,No,1,Major
Afternoon,Friday,Aug,Clear,City Road,Wet,Daylight,Signal,100,51,Female,No,1,Minor
Afternoon,Tuesday,Feb,Fog,City Road,Dry,Daylight,Signal,80,41,Male,No,1,Minor
Morning,Thursday,Nov,Snow,Highway,Dry,No Lighting,Signal,100,55,Male,No,3,Minor
Night,Saturday,Sep,Rain,City Road,Wet,Street Lit,Signal,30,77,Male,No,1,Major
Afternoon,Monday,Dec,Clear,Highway,Potholes,Daylight,Signal,40,71,Female,No,1,Minor
Night,Monday,Jan,Clear,Highway,Dry,Street Lit,Speed Breaker,40,40,Male,No,1,Minor
Evening,Friday,Sep,Clear,Highway,Dry,Daylight,Speed Breaker,80,22,Male,No,1,Minor
Afternoon,Thursday,Jan,Clear,Highway,Dry,Daylight,Signal,40,61,Male,No,2,Minor
Afternoon,Wednesday,Oct,Rain,Highway,Dry,No Lighting,Signal,60,76,Male,No,1,Minor
Evening,Thursday,Oct,Clear,City Road,Dry,Daylight,Speed Breaker,60,53,Male,No,3,Minor
Afternoon,Monday,Feb,Clear,City Road,Dry,Daylight,None,50,71,Male,No,2,Major
Night,Monday,Jun,Clear,Rural Road,Wet,Daylight,Speed Breaker,100,41,Male,No,2,Major
Morning,Saturday,Jun,Clear,Highway,Dry,Daylight,Speed Breaker,50,53,Female,No,1,Minor
Night,Thursday,Jan,Clear,Highway,Dry,Daylight,Signal,60,22,Male,Yes,1,Major
Morning,Thursday,Jul,Clear,Highway,Under Construction,Daylight,Signal,80,56,Female,No,1,Minor
Morning,Monday,Aug,Snow,City Road,Under Construction,Daylight,None,30,23,Male,No,3,Fatal
Night,Wednesday,Feb,Clear,Highway,Dry,Daylight,Signal,80,62,Male,Yes,1,Minor
Night,Friday,Aug,Clear,City Road,Dry,Daylight,None,100,53,Male,No,1,Major
Night,Sunday,Sep,Fog,City Road,Wet,Daylight,Speed Breaker,100,62,Male,No,1,Major
Night,Friday,Jun,Snow,City Road,Dry,Daylight,Speed Breaker,100,21,Male,No,2,Minor
Evening,Thursday,May,Rain,City Road,Dry,Street Lit,Signal,50,27,Male,No,2,Fatal
Afternoon,Friday,Dec,Fog,Highway,Wet,Daylight,Speed Breaker,60,69,Female,No,1,Minor
Morning,Monday,Sep,Clear,Highway,Dry,Street Lit,Signal,40,18,Female,No,1,Major
Night,Monday,Dec,Clear,Highway,Dry,Street Lit,Signal,50,38,Female,Yes,1,Minor
Night,Thursday,Nov,Clear,City Road,Dry,Street Lit,Signal,40,57,Male,No,1,Minor
Night,Thursday,Sep,Rain,Highway,Dry,Daylight,None,50,56,Male,No,2,Minor
Evening,Sunday,Jan,Rain,Highway,Dry,Daylight,Speed Breaker,100,54,Male,No,2,Minor
Night,Sunday,Nov,Clear,Rural Road,Potholes,Daylight,Signal,50,20,Male,No,2,Minor
Night,Saturday,Mar,Clear,Highway,Dry,Street Lit,Signal,60,64,Male,Yes,1,Minor
Night,Thursday,Sep,Rain,City Road,Dry,Daylight,Speed Breaker,60,48,Male,No,2,Major
Afternoon,Wednesday,Nov,Clear,City Road,Dry,Street Lit,Speed Breaker,60,44,Female,No,4,Minor
Evening,Friday,Feb,Rain,Highway,Potholes,Street Lit,Speed Breaker,120,34,Male,No,3,Minor
Night,Thursday,Dec,Rain,Highway,Dry,Daylight,Speed Breaker,50,78,Male,No,3,Major
Morning,Tuesday,Apr,Rain,Highway,Dry,Daylight,Signal,80,40,Male,No,1,Minor
Morning,Saturday,Apr,Rain,City Road,Under Construction,Street Lit,Speed Breaker,60,30,Male,No,2,Minor
Morning,Tuesday,Feb,Fog,City Road,Dry,Daylight,Signal,40,64,Female,No,3,Minor
Evening,Monday,Mar,Clear,City Road,Dry,Daylight,None,60,44,Male,No,2,Minor
Evening,Sunday,Mar,Rain,Rural Road,Dry,Street Lit,Speed Breaker,100,68,Female,No,1,Minor
Morning,Friday,Jan,Rain,City Road,Dry,Daylight,Signal,40,37,Male,No,4,Fatal
Night,Thursday,Jun,Clear,Highway,Dry,No Lighting,Signal,40,63,Male,No,1,Minor
Evening,Tuesday,Aug,Clear,Highway,Wet,Street Lit,None,50,70,Female,No,1,Minor
Morning,Friday,Dec,Clear,City Road,Dry,Street Lit,Signal,80,30,Male,No,1,Minor
Morning,Monday,Mar,Clear,Highway,Dry,Daylight,Signal,80,61,Male,No,2,Minor
Night,Sunday,May,Rain,Highway,Dry,Daylight,Speed Breaker,60,41,Male,No,1,Minor
Afternoon,Wednesday,Jan,Fog,City Road,Dry,Daylight,Signal,60,78,Male,No,1,Minor
Evening,Saturday,Oct,Clear,City Road,Dry,Daylight,Speed Breaker,100,72,Female,No,2,Minor
Night,Friday,Jul,Clear,Rural Road,Potholes,Daylight,Signal,80,58,Female,No,2,Minor
Morning,Friday,Oct,Snow,City Road,Dry,Daylight,Speed Breaker,100,76,Female,No,2,Major
Morning,Wednesday,Jan,Clear,Highway,Wet,Daylight,Signal,100,20,Male,No,1,Minor
Night,Friday,Dec,Clear,Rural Road,Dry,Daylight,Signal,80,79,Male,No,2,Minor
Evening,Monday,Nov,Rain,Highway,Dry,Street Lit,None,60,60,Male,Yes,1,Major
Afternoon,Monday,Sep,Clear,Highway,Dry,Daylight,Speed Breaker,100,27,Female,No,1,Minor
Afternoon,Wednesday,Aug,Clear,City Road,Dry,Daylight,Signal,100,18,Female,No,1,Major
Morning,Saturday,Jul,Clear,Highway,Dry,Street Lit,Signal,30,66,Male,No,2,Major
Evening,Thursday,Oct,Clear,City Road,Dry,No Lighting,Speed Breaker,40,77,Male,Yes,1,Minor
Afternoon,Tuesday,Jul,Rain,Highway,Wet,Daylight,Speed Breaker,120,75,Male,No,1,Minor
Evening,Thursday,May,Clear,City Road,Dry,Daylight,None,50,30,Male,No,1,Fatal
Evening,Friday,May,Clear,Highway,Dry,Daylight,None,100,31,Male,No,1,Major
Morning,Tuesday,Nov,Rain,City Road,Dry,No Lighting,Speed Breaker,60,50,Male,No,3,Fatal
Afternoon,Wednesday,May,Fog,City Road,Dry,Street Lit,Signal,40,19,Male,No,3,Minor
Night,Wednesday,Jan,Clear,Highway,Dry,Street Lit,Signal,40,19,Female,Yes,1,Minor
Morning,Saturday,Aug,Clear,Highway,Dry,Daylight,Speed Breaker,50,56,Female,No,1,Fatal
Afternoon,Tuesday,Dec,Rain,Highway,Dry,Daylight,Signal,50,58,Female,No,1,Minor
Afternoon,Monday,Nov,Clear,Highway,Wet,Daylight,Signal,60,73,Male,No,2,Fatal
Afternoon,Tuesday,Jan,Clear,City Road,Under Construction,Street Lit,Signal,80,48,Male,No,1,Minor
Afternoon,Friday,Apr,Rain,City Road,Dry,Street Lit,Signal,120,21,Male,No,1,Fatal
Afternoon,Monday,Sep,Fog,Highway,Dry,No Lighting,Signal,60,51,Male,No,1,Minor
Evening,Sunday,Sep,Fog,Highway,Under Construction,Daylight,Signal,60,36,Male,Yes,1,Minor
Morning,Sunday,May,Rain,Highway,Dry,Daylight,Speed Breaker,60,75,Female,No,1,Major
Evening,Sunday,Apr,Rain,City Road,Dry,Daylight,Signal,60,54,Male,No,1,Minor
Night,Wednesday,Mar,Clear,Highway,Dry,Street Lit,Signal,60,26,Female,Yes,1,Minor
Afternoon,Tuesday,Mar,Rain,Rural Road,Dry,Street Lit,Signal,30,41,Female,No,1,Minor
Morning,Sunday,Dec,Clear,City Road,Dry,Daylight,Speed Breaker,30,30,Female,Yes,4,Major
Afternoon,Thursday,May,Clear,Highway,Dry,Daylight,Signal,40,61,Female,No,1,Fatal
Morning,Saturday,Oct,Rain,City Road,Dry,Daylight,Speed Breaker,40,47,Male,No,1,Minor
Evening,Thursday,Jan,Rain,Rural Road,Dry,Daylight,None,80,36,Female,No,3,Minor
Morning,Sunday,May,Clear,City Road,Wet,Street Lit,Signal,50,58,Male,Yes,3,Minor
Night,Saturday,Jun,Storm,Highway,Dry,Daylight,Signal,100,27,Female,No,1,Major
Night,Friday,Jul,Clear,Highway,Dry,Street Lit,Signal,100,68,Male,No,2,Minor
Morning,Thursday,Dec,Clear,City Road,Dry,Daylight,None,120,59,Male,Yes,1,Minor
Morning,Tuesday,Sep,Clear,City Road,Wet,Street Lit,Speed Breaker,100,61,Male,No,2,Minor
Morning,Tuesday,Mar,Rain,City Road,Wet,Daylight,None,50,31,Male,No,4,Minor
Morning,Thursday,Feb,Rain,Rural Road,Wet,Street Lit,Signal,60,57,Male,No,1,Major
Night,Sunday,Mar,Clear,Rural Road,Dry,Daylight,None,50,65,Male,No,1,Minor
Afternoon,Tuesday,Dec,Rain,Rural Road,Wet,Daylight,Signal,100,66,Female,No,1,Minor
Morning,Friday,Sep,Clear,Highway,Wet,Daylight,Signal,100,37,Male,Yes,2,Minor
Morning,Monday,Dec,Rain,City Road,Dry,Daylight,None,100,21,Male,No,1,Major
Night,Sunday,Jul,Clear,City Road,Dry,Daylight,None,60,55,Male,No,2,Minor
Night,Friday,Sep,Clear,City Road,Dry,Daylight,Signal,80,61,Male,No,1,Minor
Evening,Saturday,Feb,Storm,City Road,Wet,No Lighting,Signal,40,77,Male,No,1,Minor
Morning,Friday,May,Clear,Highway,Dry,Daylight,Signal,30,67,Female,No,1,Major
Evening,Sunday,Apr,Clear,City Road,Dry,Street Lit,Signal,80,56,Male,Yes,1,Minor
Night,Saturday,Feb,Rain,City Road,Potholes,No Lighting,Signal,60,22,Male,No,1,Minor
Night,Sunday,Sep,Snow,Highway,Wet,Daylight,None,120,59,Male,No,1,Minor
Afternoon,Tuesday,Sep,Clear,City Road,Potholes,Street Lit,Speed Breaker,40,49,Male,No,2,Minor
Morning,Monday,Jun,Clear,Highway,Potholes,Daylight,Speed Breaker,100,23,Male,No,2,Fatal
Evening,Sunday,Nov,Clear,Highway,Dry,Daylight,Speed Breaker,60,76,Female,No,2,Minor
Night,Sunday,Jun,Clear,Highway,Wet,Daylight,Speed Breaker,100,31,Male,No,1,Fatal
Night,Tuesday,Aug,Clear,City Road,Dry,No Lighting,Speed Breaker,100,23,Male,No,3,Minor
Evening,Wednesday,Jun,Rain,City Road,Under Construction,Daylight,Speed Breaker,100,79,Male,No,2,Minor
Afternoon,Tuesday,Jan,Snow,City Road,Dry,Daylight,Signal,50,31,Male,No,1,Minor
Night,Saturday,Apr,Clear,City Road,Potholes,Daylight,Speed Breaker,100,29,Female,No,1,Fatal
Morning,Tuesday,Jul,Clear,City Road,Wet,Street Lit,Speed Breaker,50,79,Male,No,1,Minor
Night,Tuesday,Feb,Clear,Highway,Wet,Daylight,None,40,44,Male,No,4,Major
Morning,Monday,Sep,Clear,Highway,Dry,Street Lit,None,60,71,Female,No,1,Minor
Evening,Tuesday,Aug,Fog,Rural Road,Dry,Street Lit,Signal,100,43,Male,No,1,Minor
Morning,Sunday,Aug,Clear,Highway,Wet,Street Lit,Speed Breaker,60,29,Female,No,1,Major
Evening,Monday,Jul,Clear,Rural Road,Dry,No Lighting,Signal,100,25,Male,No,2,Fatal
Morning,Thursday,Apr,Rain,City Road,Under Construction,Street Lit,Speed Breaker,80,27,Male,No,1,Minor
Evening,Wednesday,Feb,Clear,City Road,Dry,Daylight,Signal,50,33,Female,No,1,Major
Morning,Monday,Mar,Rain,Rural Road,Wet,Daylight,Signal,100,69,Female,No,1,Minor
Afternoon,Saturday,Dec,Clear,Highway,Dry,Daylight,Signal,40,43,Male,No,1,Minor
Morning,Thursday,Jun,Fog,Highway,Wet,Daylight,Speed Breaker,100,25,Female,No,1,Minor
Morning,Monday,Dec,Storm,City Road,Wet,Daylight,Signal,50,58,Male,No,1,Minor
Afternoon,Monday,Dec,Rain,Highway,Dry,Daylight,None,60,62,Male,No,2,Minor
Night,Wednesday,May,Snow,Rural Road,Dry,Daylight,Signal,60,46,Male,No,2,Minor
Night,Sunday,Dec,Clear,Highway,Dry,No Lighting,None,50,37,Male,No,2,Fatal
Morning,Saturday,Aug,Clear,City Road,Dry,Daylight,Speed Breaker,60,34,Female,No,1,Major
Afternoon,Friday,Jun,Rain,City Road,Dry,No Lighting,Signal,50,36,Male,No,2,Minor
Morning,Friday,Jun,Rain,City Road,Wet,Daylight,Signal,50,34,Male,No,1,Fatal
Evening,Monday,Jan,Clear,Highway,Dry,Street Lit,Speed Breaker,50,56,Female,No,1,Minor
Evening,Tuesday,Apr,Clear,Highway,Dry,Street Lit,Speed Breaker,60,77,Male,No,3,Minor
Morning,Saturday,May,Clear,City Road,Dry,Daylight,Speed Breaker,80,18,Male,No,2,Major
Night,Thursday,Dec,Clear,Highway,Dry,Daylight,Signal,60,76,Male,No,1,Minor
Night,Tuesday,Nov,Clear,City Road,Dry,Daylight,Signal,100,69,Male,No,3,Major
Morning,Tuesday,Mar,Rain,City Road,Potholes,Daylight,None,80,46,Female,No,4,Minor
Morning,Saturday,Sep,Clear,City Road,Under Construction,No Lighting,Signal,80,31,Male,No,2,Minor
